demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
4,3,204.7022408968745,11.0,3.0,1.0,4.0,1.0,-14.138155172753489,3.2301370231301236
3,1,286.27106063670925,4.0,11.0,3.0,1.0,4.0,-13.567145151015641,-1.8800714456542866
7,2,294.488256667718,3.0,4.0,11.0,3.0,1.0,-12.996135129277794,-0.695408119566902
7,3,265.3044797036781,7.0,3.0,4.0,11.0,3.0,-12.425125107539953,-0.8248473575820812
2,2,174.03377815168446,7.0,7.0,3.0,4.0,11.0,-11.854115085802105,-4.521594287904951
3,4,272.1721601004583,2.0,7.0,7.0,3.0,4.0,-11.283105064064259,-11.074110448997054
2,2,343.74132623942324,3.0,2.0,7.0,7.0,3.0,-10.712095042326414,-9.742011225473773
8,4,291.0480789590852,2.0,3.0,2.0,7.0,7.0,-10.141085020588571,-10.24965559169408
12,4,159.08227711159182,8.0,2.0,3.0,2.0,7.0,-9.570074998850725,-0.17396662458105538
7,2,216.76438695832738,12.0,8.0,2.0,3.0,2.0,-8.999064977112877,-5.123918683109051
7,3,155.21691544524538,7.0,12.0,8.0,2.0,3.0,-8.428054955375032,-5.843101510867823
4,3,187.4942119712016,7.0,7.0,12.0,8.0,2.0,-7.857044933637186,-3.886002287344534
3,3,233.25704472194283,4.0,7.0,7.0,12.0,8.0,-7.286034911899342,-10.098774858693051
4,3,187.29112172943826,3.0,4.0,7.0,7.0,12.0,-6.715024890161495,-11.910906404400539
7,1,196.81623481867055,4.0,3.0,4.0,7.0,7.0,-6.144014868423651,-9.033935386005462
4,2,243.04062536849202,7.0,4.0,3.0,4.0,7.0,-5.573004846685803,-5.557605393251411
5,2,404.91886144196786,4.0,7.0,4.0,3.0,4.0,-5.0019948249479596,-5.32166001588197
6,3,209.32060217530037,5.0,4.0,7.0,4.0,3.0,-4.430984803210113,-0.6369966897945922
6,1,147.42485303268788,6.0,5.0,4.0,7.0,4.0,-3.859974781472268,0.3297179183440768
11,2,166.79307191144673,6.0,6.0,5.0,4.0,7.0,-3.288964759734421,5.940663295713512
2,1,137.37682519833885,11.0,6.0,6.0,5.0,4.0,-2.7179547379965765,4.96827533974962
6,2,140.48754077511217,2.0,11.0,6.0,6.0,5.0,-2.1469447162587323,-5.420824433239863
1,3,155.94506986717172,6.0,2.0,11.0,6.0,6.0,-1.5759346945208854,-13.884338291390026
1,2,298.2069429921869,1.0,6.0,2.0,11.0,6.0,-1.004924672783039,-5.738877790565822
9,3,139.67325438478147,1.0,1.0,6.0,2.0,11.0,-0.4339146510451943,9.762351941027609
6,1,160.70036123242247,9.0,1.0,1.0,6.0,2.0,0.13709537069265032,2.3629406469800123
10,4,179.3079987275705,6.0,9.0,1.0,1.0,6.0,6.875,5.872641406819504
4,2,163.36695528913728,10.0,6.0,9.0,1.0,1.0,6.8173076923076925,7.6090796071973426
4,1,159.43086895464594,4.0,10.0,6.0,9.0,1.0,6.8269230769230775,7.646799858857236
12,2,226.75540812776185,4.0,4.0,10.0,6.0,9.0,6.807692307692308,3.678109854106872
5,2,146.1602631492514,12.0,4.0,4.0,10.0,6.0,6.826923076923076,5.783137798074456
12,1,180.41576560827042,5.0,12.0,4.0,4.0,10.0,6.894230769230767,-12.724013745137448
13,1,276.47272386661024,12.0,5.0,12.0,4.0,4.0,6.9230769230769225,8.756014198830137
7,3,139.1459922251779,13.0,12.0,5.0,12.0,4.0,6.961538461538462,-4.7831886264330485
2,1,152.04505023034338,7.0,13.0,12.0,5.0,12.0,6.971153846153847,18.607095727790934
18,2,246.6772056028548,2.0,7.0,13.0,12.0,5.0,6.875000000000001,4.657636492271349
11,1,136.31682277886873,18.0,2.0,7.0,13.0,12.0,6.740384615384616,7.724202897777393
10,1,253.44086610736613,11.0,18.0,2.0,7.0,13.0,6.6826923076923075,10.742692380206515
7,2,257.6468447681421,10.0,11.0,18.0,2.0,7.0,6.6730769230769225,11.77400237545615
10,3,186.87088419911237,7.0,10.0,11.0,18.0,2.0,6.6730769230769225,1.4976200630134726
12,1,274.94788852869914,10.0,7.0,10.0,11.0,18.0,6.6730769230769225,10.19559672492978
8,3,137.09312145742055,12.0,10.0,7.0,10.0,11.0,6.6538461538461515,5.182034925307619
10,1,172.3259357748943,8.0,12.0,10.0,7.0,10.0,6.634615384615384,-0.8828089255965932
4,2,285.6871746826183,10.0,8.0,12.0,10.0,7.0,6.788461538461537,-9.970088673936703
10,2,495.2882125540938,4.0,10.0,8.0,12.0,10.0,7.230769230769232,-2.675958165866555
10,4,332.09030297819413,10.0,4.0,10.0,8.0,12.0,8.076923076923077,0.6854800345112819
6,2,248.35054791827682,10.0,10.0,4.0,10.0,8.0,8.913461538461538,37.69755926053015
0,1,561.4532172606861,6.0,10.0,10.0,4.0,10.0,9.471153846153848,-2.6107864959928286
5,1,420.0155329557245,0.0,6.0,10.0,10.0,4.0,9.980769230769232,-11.56270957291591
11,1,373.68156357895623,5.0,0.0,6.0,10.0,10.0,10.39423076923077,4.403636580930248
11,2,257.8005248936521,11.0,5.0,0.0,6.0,10.0,10.990384615384619,-5.476171111377453
6,3,326.56035948676515,11.0,11.0,5.0,0.0,6.0,11.740384615384619,-6.803094188300529
3,1,149.5321143636963,6.0,11.0,11.0,5.0,0.0,12.45192307692308,3.2301370231301236
5,2,440.2742787602143,3.0,6.0,11.0,11.0,5.0,13.163461538461542,-1.8800714456542866
3,2,554.3660717559613,5.0,3.0,6.0,11.0,11.0,13.903846153846155,-0.695408119566902
13,1,682.1520523495877,3.0,5.0,3.0,6.0,11.0,14.798076923076923,-0.8248473575820812
3,1,303.8131549129461,13.0,3.0,5.0,3.0,6.0,15.740384615384615,-4.521594287904951
5,3,298.17619981454703,3.0,13.0,3.0,5.0,3.0,16.64423076923077,-11.074110448997054
4,2,423.2912271239933,5.0,3.0,13.0,3.0,5.0,17.317307692307693,-9.742011225473773
7,1,246.4975965335192,4.0,5.0,3.0,13.0,3.0,17.5,-10.24965559169408
3,1,342.4292332945135,7.0,4.0,5.0,3.0,13.0,17.894230769230774,-0.17396662458105538
2,2,234.14962279554803,3.0,7.0,4.0,5.0,3.0,18.836538461538463,-5.123918683109051
6,3,332.71173667702703,2.0,3.0,7.0,4.0,5.0,19.875,-5.843101510867823
4,3,149.19325503302005,6.0,2.0,3.0,7.0,4.0,20.89423076923077,-3.886002287344534
3,3,265.90064407708246,4.0,6.0,2.0,3.0,7.0,21.788461538461537,-10.098774858693051
4,1,166.10572139187138,3.0,4.0,6.0,2.0,3.0,22.76923076923077,-11.910906404400539
5,3,424.21587223399627,4.0,3.0,4.0,6.0,2.0,23.80769230769231,-9.033935386005462
4,1,521.205637585472,5.0,4.0,3.0,4.0,6.0,24.64423076923077,-5.557605393251411
21,2,153.58090466533105,4.0,5.0,4.0,3.0,4.0,25.538461538461547,-5.32166001588197
36,3,255.08887156713573,21.0,4.0,5.0,4.0,3.0,26.442307692307697,-0.6369966897945922
64,1,289.82086896348864,36.0,21.0,4.0,5.0,4.0,27.298076923076927,0.3297179183440768
40,4,366.22390840471627,64.0,36.0,21.0,4.0,5.0,28.432692307692303,5.940663295713512
31,1,395.0797204133365,40.0,64.0,36.0,21.0,4.0,29.84615384615385,4.96827533974962
30,1,256.33725884144656,31.0,40.0,64.0,36.0,21.0,31.086538461538463,-5.420824433239863
20,1,170.05455882654155,30.0,31.0,40.0,64.0,36.0,32.019230769230774,-13.884338291390026
44,2,167.40125553286424,20.0,30.0,31.0,40.0,64.0,33.125,-5.738877790565822
44,3,235.92941842583141,44.0,20.0,30.0,31.0,40.0,34.16346153846154,9.762351941027609
45,2,346.22682005880586,44.0,44.0,20.0,30.0,31.0,34.903846153846146,2.3629406469800123
45,3,250.10940562030984,45.0,44.0,44.0,20.0,30.0,35.75,5.872641406819504
46,2,184.16361515872,45.0,45.0,44.0,44.0,20.0,36.71153846153847,7.6090796071973426
55,1,158.09857216652804,46.0,45.0,45.0,44.0,44.0,37.70192307692308,7.646799858857236
59,1,159.48634255670626,55.0,46.0,45.0,45.0,44.0,38.740384615384606,3.678109854106872
52,1,109.51373860244844,59.0,55.0,46.0,45.0,45.0,39.519230769230774,5.783137798074456
35,2,113.74050490935385,52.0,59.0,55.0,46.0,45.0,40.08653846153846,-12.724013745137448
9,1,111.98832726397829,35.0,52.0,59.0,55.0,46.0,40.730769230769226,8.756014198830137
52,2,179.33014961084587,9.0,35.0,52.0,59.0,55.0,41.42307692307692,-4.7831886264330485
55,2,160.8471932462714,52.0,9.0,35.0,52.0,59.0,42.35576923076924,18.607095727790934
73,3,163.4515018239031,55.0,52.0,9.0,35.0,52.0,43.41346153846153,4.657636492271349
62,2,168.615227660215,73.0,55.0,52.0,9.0,35.0,44.46153846153847,7.724202897777393
52,3,291.1016957598875,62.0,73.0,55.0,52.0,9.0,45.57692307692307,10.742692380206515
67,4,285.3556267215885,52.0,62.0,73.0,55.0,52.0,46.60576923076924,11.77400237545615
58,3,326.24725053629464,67.0,52.0,62.0,73.0,55.0,47.54807692307693,1.4976200630134726
51,3,240.7493585719894,58.0,67.0,52.0,62.0,73.0,48.56730769230769,10.19559672492978
62,3,192.87500703128867,51.0,58.0,67.0,52.0,62.0,49.740384615384606,5.182034925307619
50,2,279.0021568963129,62.0,51.0,58.0,67.0,52.0,51.06730769230769,-0.8828089255965932
53,4,252.95216505675717,50.0,62.0,51.0,58.0,67.0,52.28846153846154,-9.970088673936703
79,3,312.95432888928326,53.0,50.0,62.0,51.0,58.0,53.07692307692307,-2.675958165866555
88,2,260.96747248340944,79.0,53.0,50.0,62.0,51.0,53.259615384615394,0.6854800345112819
57,1,224.60387261386262,88.0,79.0,53.0,50.0,62.0,53.50000000000001,37.69755926053015
46,3,272.53554929695355,57.0,88.0,79.0,53.0,50.0,54.144230769230774,-2.6107864959928286
74,1,314.76692150716383,46.0,57.0,88.0,79.0,53.0,54.53846153846154,-11.56270957291591
50,2,261.72855514677786,74.0,46.0,57.0,88.0,79.0,55.19230769230769,4.403636580930248
49,3,573.9611911012443,50.0,74.0,46.0,57.0,88.0,56.35576923076924,-5.476171111377453
56,3,341.07581848222117,49.0,50.0,74.0,46.0,57.0,57.259615384615394,-6.803094188300529
53,2,267.3044494316712,56.0,49.0,50.0,74.0,46.0,58.08653846153847,3.2301370231301236
58,2,361.3467327149136,53.0,56.0,49.0,50.0,74.0,59.134615384615394,-1.8800714456542866
58,3,337.9712768425143,58.0,53.0,56.0,49.0,50.0,60.26923076923079,-0.695408119566902
39,1,329.79149330207736,58.0,58.0,53.0,56.0,49.0,61.19230769230771,-0.8248473575820812
36,1,195.8279900957951,39.0,58.0,58.0,53.0,56.0,61.76923076923079,-4.521594287904951
39,1,384.22284560928114,36.0,39.0,58.0,58.0,53.0,61.951923076923094,-11.074110448997054
42,1,345.47184813590286,39.0,36.0,39.0,58.0,58.0,62.71153846153847,-9.742011225473773
66,1,448.5169734055944,42.0,39.0,36.0,39.0,58.0,64.48076923076924,-10.24965559169408
54,1,217.9044497232859,66.0,42.0,39.0,36.0,39.0,66.28846153846155,-0.17396662458105538
60,4,314.6206340298981,54.0,66.0,42.0,39.0,36.0,67.625,-5.123918683109051
64,4,308.9577462080223,60.0,54.0,66.0,42.0,39.0,68.17307692307692,-5.843101510867823
53,4,289.07492072540987,64.0,60.0,54.0,66.0,42.0,68.71153846153845,-3.886002287344534
52,3,348.24398694294007,53.0,64.0,60.0,54.0,66.0,69.88461538461539,-10.098774858693051
61,3,264.59467390634916,52.0,53.0,64.0,60.0,54.0,70.76923076923076,-11.910906404400539
70,4,321.2955316157468,61.0,52.0,53.0,64.0,60.0,71.52884615384616,-9.033935386005462
77,4,195.23944951432773,70.0,61.0,52.0,53.0,64.0,72.69230769230771,-5.557605393251411
75,4,328.10393951807947,77.0,70.0,61.0,52.0,53.0,73.51923076923076,-5.32166001588197
64,4,338.76437156629817,75.0,77.0,70.0,61.0,52.0,73.99038461538463,-0.6369966897945922
55,4,277.4739780266264,64.0,75.0,77.0,70.0,61.0,74.66346153846155,0.3297179183440768
74,4,212.83331656493192,55.0,64.0,75.0,77.0,70.0,75.12500000000001,5.940663295713512
64,4,262.7702987481591,74.0,55.0,64.0,75.0,77.0,76.05769230769229,4.96827533974962
38,4,224.11951389030293,64.0,74.0,55.0,64.0,75.0,77.41359698953829,-5.420824433239863
80,4,221.61372138524345,38.0,64.0,74.0,55.0,64.0,78.30043623455862,-13.884338291390026
105,4,208.5502390934947,80.0,38.0,64.0,74.0,55.0,79.18727547957893,-5.738877790565822
77,4,218.1098352535269,105.0,80.0,38.0,64.0,74.0,80.07411472459927,9.762351941027609
98,4,217.88368021716698,77.0,105.0,80.0,38.0,64.0,80.9609539696196,2.3629406469800123
101,4,234.58807799522208,98.0,77.0,105.0,80.0,38.0,81.84779321463992,5.872641406819504
108,4,384.43834261652916,101.0,98.0,77.0,105.0,80.0,82.73463245966025,7.6090796071973426
89,4,190.3855949728634,108.0,101.0,98.0,77.0,105.0,83.62147170468057,7.646799858857236
85,4,198.59322042197448,89.0,108.0,101.0,98.0,77.0,84.50831094970091,3.678109854106872
45,4,191.15147551030282,85.0,89.0,108.0,101.0,98.0,85.39515019472123,5.783137798074456
121,4,309.67532553171526,45.0,85.0,89.0,108.0,101.0,86.28198943974155,-12.724013745137448
107,4,330.978505754656,121.0,45.0,85.0,89.0,108.0,87.16882868476186,8.756014198830137
142,4,206.3915172718752,107.0,121.0,45.0,85.0,89.0,88.0556679297822,-4.7831886264330485
104,4,204.11149601297438,142.0,107.0,121.0,45.0,85.0,88.94250717480253,18.607095727790934
81,4,192.49537575924742,104.0,142.0,107.0,121.0,45.0,89.82934641982284,4.657636492271349
110,3,214.1571776622539,81.0,104.0,142.0,107.0,121.0,90.7161856648432,7.724202897777393
126,3,191.9029872474057,110.0,81.0,104.0,142.0,107.0,91.60302490986349,10.742692380206515
85,4,255.05908044557157,126.0,110.0,81.0,104.0,142.0,92.48986415488385,11.77400237545615
119,4,195.82804893534302,85.0,126.0,110.0,81.0,104.0,93.37670339990416,1.4976200630134726
111,4,196.2342392420316,119.0,85.0,126.0,110.0,81.0,94.26354264492448,10.19559672492978
88,4,193.42508526477852,111.0,119.0,85.0,126.0,110.0,95.1503818899448,5.182034925307619
73,4,211.41133222677692,88.0,111.0,119.0,85.0,126.0,96.03722113496514,-0.8828089255965932
100,4,220.8052436386959,73.0,88.0,111.0,119.0,85.0,96.92406037998545,-9.970088673936703
80,1,205.84777209139344,100.0,73.0,88.0,111.0,119.0,97.8108996250058,-2.675958165866555
184,3,166.34208095923196,80.0,100.0,73.0,88.0,111.0,98.69773887002613,0.6854800345112819
145,2,202.69176400416455,184.0,80.0,100.0,73.0,88.0,99.58457811504644,37.69755926053015
