demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
45,2,37.0,52.0,54.0,62.0,61.0,47.4730538553481,8.322591105215118
59,3,45.0,37.0,52.0,54.0,62.0,47.19804137743074,5.202723469649115
54,1,59.0,45.0,37.0,52.0,54.0,46.92302889951336,-8.27611852489125
34,2,54.0,59.0,45.0,37.0,52.0,46.648016421596004,1.793116403645309
54,3,34.0,54.0,59.0,45.0,37.0,46.37300394367864,-7.410084565254032
48,2,54.0,34.0,54.0,59.0,45.0,46.097991465761254,-0.6036701495379853
76,4,48.0,54.0,34.0,54.0,59.0,45.82297898784388,-2.476742913309121
45,2,76.0,48.0,54.0,34.0,54.0,45.54796650992652,11.291209963945384
59,4,45.0,76.0,48.0,54.0,34.0,45.272954032009146,3.3091628411998952
46,4,59.0,45.0,76.0,48.0,54.0,44.99794155409178,3.5835259748646613
66,2,46.0,59.0,45.0,76.0,48.0,44.7229290761744,8.200837826478145
45,3,66.0,46.0,59.0,45.0,76.0,44.44791659825704,10.151483011424963
35,3,45.0,66.0,46.0,59.0,45.0,44.17290412033967,-0.21838462414104487
42,3,35.0,45.0,66.0,46.0,59.0,43.89789164242229,-3.171585593040384
62,3,42.0,35.0,45.0,66.0,46.0,43.622879164504916,-8.08953015168331
42,1,62.0,42.0,35.0,45.0,66.0,43.347866686587544,10.71047400762248
49,2,42.0,62.0,42.0,35.0,45.0,43.072854208670186,-4.470291063840962
41,2,49.0,42.0,62.0,42.0,35.0,42.797841730752815,2.566892582644316
37,3,41.0,49.0,42.0,62.0,42.0,42.522829252835436,0.8668967419501098
44,1,37.0,41.0,49.0,42.0,62.0,42.24781677491807,-11.121560637205642
48,2,44.0,37.0,41.0,49.0,42.0,41.97280429700071,-7.09719750354088
40,1,48.0,44.0,37.0,41.0,49.0,41.697791819083335,-6.069629241670986
39,2,40.0,48.0,44.0,37.0,41.0,41.42277934116596,-10.446747340780682
35,3,39.0,40.0,48.0,44.0,37.0,41.14776686324859,-15.594568247640689
29,2,35.0,39.0,40.0,48.0,44.0,40.87275438533122,-10.380209667321214
30,3,29.0,35.0,39.0,40.0,48.0,40.59774190741385,-2.7748254459760924
66,1,30.0,29.0,35.0,39.0,40.0,41.18269230769232,-13.725326286593685
48,4,66.0,30.0,29.0,35.0,39.0,41.355769230769226,3.5415922369841035
44,2,48.0,66.0,30.0,29.0,35.0,40.92307692307693,1.9815876836388204
45,1,44.0,48.0,66.0,30.0,29.0,40.25000000000001,1.7965831302935344
31,2,45.0,44.0,48.0,66.0,30.0,40.125,-5.452523987154316
41,2,31.0,45.0,44.0,48.0,66.0,40.0673076923077,-11.653554181525244
29,1,41.0,31.0,45.0,44.0,48.0,39.85576923076925,-9.816122837434634
48,1,29.0,41.0,31.0,45.0,44.0,39.394230769230774,-7.962665852318379
21,3,48.0,29.0,41.0,31.0,45.0,38.99038461538462,2.8266885686953094
45,1,21.0,48.0,29.0,41.0,31.0,38.66346153846154,-3.4480595743935667
23,2,45.0,21.0,48.0,29.0,41.0,38.32692307692308,15.568858949184225
39,1,23.0,45.0,21.0,48.0,29.0,38.11538461538462,-2.3693507323661898
30,1,39.0,23.0,45.0,21.0,48.0,37.817307692307686,4.067439586083396
35,2,30.0,39.0,23.0,45.0,21.0,37.46153846153847,-8.351539326236251
39,3,35.0,30.0,39.0,23.0,45.0,37.03846153846154,1.5884561204184657
46,1,39.0,35.0,30.0,39.0,23.0,36.61538461538462,1.9899900286116436
30,3,46.0,39.0,35.0,30.0,39.0,36.221153846153854,7.70242137270225
24,1,30.0,46.0,39.0,35.0,30.0,35.846153846153854,3.3763911783313225
27,2,24.0,30.0,46.0,39.0,35.0,35.54807692307692,3.01510457370399
32,2,27.0,24.0,30.0,46.0,39.0,35.259615384615394,-2.993617928359245
37,4,32.0,27.0,24.0,30.0,46.0,34.86538461538462,7.734839056757005
20,2,37.0,32.0,27.0,24.0,30.0,34.269230769230774,15.787013990591207
13,1,20.0,37.0,32.0,27.0,24.0,33.653846153846146,4.215852646741412
39,1,13.0,20.0,37.0,32.0,27.0,33.153846153846146,-8.582224276335516
43,1,39.0,13.0,20.0,37.0,32.0,32.57692307692308,19.004314185202944
48,2,43.0,39.0,13.0,20.0,37.0,32.20192307692307,12.36008341597218
52,3,48.0,43.0,39.0,13.0,20.0,31.961538461538463,8.322591105215118
7,1,52.0,48.0,43.0,39.0,13.0,31.42307692307692,5.202723469649115
36,2,7.0,52.0,48.0,43.0,39.0,30.740384615384613,-8.27611852489125
39,2,36.0,7.0,52.0,48.0,43.0,30.278846153846153,1.793116403645309
43,1,39.0,36.0,7.0,52.0,48.0,29.865384615384613,-7.410084565254032
37,1,43.0,39.0,36.0,7.0,52.0,29.461538461538467,-0.6036701495379853
39,3,37.0,43.0,39.0,36.0,7.0,29.000000000000004,-2.476742913309121
40,2,39.0,37.0,43.0,39.0,36.0,28.615384615384606,11.291209963945384
30,1,40.0,39.0,37.0,43.0,39.0,28.134615384615394,3.3091628411998952
40,1,30.0,40.0,39.0,37.0,43.0,27.778846153846153,3.5835259748646613
50,2,40.0,30.0,40.0,39.0,37.0,27.90384615384616,8.200837826478145
30,3,50.0,40.0,30.0,40.0,39.0,28.0,10.151483011424963
13,3,30.0,50.0,40.0,30.0,40.0,27.97115384615385,-0.21838462414104487
20,3,13.0,30.0,50.0,40.0,30.0,27.81730769230769,-3.171585593040384
40,1,20.0,13.0,30.0,50.0,40.0,27.81730769230769,-8.08953015168331
23,3,40.0,20.0,13.0,30.0,50.0,28.009615384615394,10.71047400762248
29,1,23.0,40.0,20.0,13.0,30.0,28.115384615384613,-4.470291063840962
30,2,29.0,23.0,40.0,20.0,13.0,28.173076923076927,2.566892582644316
18,3,30.0,29.0,23.0,40.0,20.0,28.51923076923077,0.8668967419501098
22,1,18.0,30.0,29.0,23.0,40.0,28.903846153846153,-11.121560637205642
8,4,22.0,18.0,30.0,29.0,23.0,29.230769230769234,-7.09719750354088
16,1,8.0,22.0,18.0,30.0,29.0,29.81730769230769,-6.069629241670986
11,1,16.0,8.0,22.0,18.0,30.0,30.500000000000004,-10.446747340780682
3,1,11.0,16.0,8.0,22.0,18.0,31.038461538461537,-15.594568247640689
22,2,3.0,11.0,16.0,8.0,22.0,31.49038461538462,-10.380209667321214
12,3,22.0,3.0,11.0,16.0,8.0,31.76923076923077,-2.7748254459760924
28,2,12.0,22.0,3.0,11.0,16.0,31.85576923076923,-13.725326286593685
15,3,28.0,12.0,22.0,3.0,11.0,31.70192307692308,3.5415922369841035
29,2,15.0,28.0,12.0,22.0,3.0,31.634615384615387,1.9815876836388204
17,1,29.0,15.0,28.0,12.0,22.0,31.68269230769231,1.7965831302935344
17,1,17.0,29.0,15.0,28.0,12.0,31.375,-5.452523987154316
7,1,17.0,17.0,29.0,15.0,28.0,30.855769230769234,-11.653554181525244
23,2,7.0,17.0,17.0,29.0,15.0,30.375,-9.816122837434634
4,1,23.0,7.0,17.0,17.0,29.0,30.09615384615385,-7.962665852318379
28,2,4.0,23.0,7.0,17.0,17.0,29.95192307692308,2.8266885686953094
51,2,28.0,4.0,23.0,7.0,17.0,29.923076923076927,-3.4480595743935667
27,3,51.0,28.0,4.0,23.0,7.0,30.02884615384616,15.568858949184225
32,2,27.0,51.0,28.0,4.0,23.0,29.875000000000004,-2.3693507323661898
21,3,32.0,27.0,51.0,28.0,4.0,29.68269230769231,4.067439586083396
44,4,21.0,32.0,27.0,51.0,28.0,30.11538461538462,-8.351539326236251
50,3,44.0,21.0,32.0,27.0,51.0,30.538461538461537,1.5884561204184657
46,3,50.0,44.0,21.0,32.0,27.0,30.576923076923073,1.9899900286116436
36,3,46.0,50.0,44.0,21.0,32.0,30.65384615384616,7.70242137270225
54,2,36.0,46.0,50.0,44.0,21.0,30.82692307692308,3.3763911783313225
37,4,54.0,36.0,46.0,50.0,44.0,31.02884615384616,3.01510457370399
56,3,37.0,54.0,36.0,46.0,50.0,31.163461538461537,-2.993617928359245
74,2,56.0,37.0,54.0,36.0,46.0,31.19230769230769,7.734839056757005
54,1,74.0,56.0,37.0,54.0,36.0,31.45192307692308,15.787013990591207
35,3,54.0,74.0,56.0,37.0,54.0,31.778846153846153,4.215852646741412
64,1,35.0,54.0,74.0,56.0,37.0,31.875000000000004,-8.582224276335516
47,2,64.0,35.0,54.0,74.0,56.0,32.27884615384616,19.004314185202944
53,3,47.0,64.0,35.0,54.0,74.0,32.94230769230769,12.36008341597218
31,3,53.0,47.0,64.0,35.0,54.0,33.394230769230774,8.322591105215118
21,2,31.0,53.0,47.0,64.0,35.0,33.56730769230769,5.202723469649115
27,2,21.0,31.0,53.0,47.0,64.0,33.96153846153846,-8.27611852489125
16,3,27.0,21.0,31.0,53.0,47.0,34.490384615384606,1.793116403645309
12,1,16.0,27.0,21.0,31.0,53.0,34.78846153846154,-7.410084565254032
18,1,12.0,16.0,27.0,21.0,31.0,35.04807692307692,-0.6036701495379853
29,1,18.0,12.0,16.0,27.0,21.0,35.40384615384615,-2.476742913309121
35,1,29.0,18.0,12.0,16.0,27.0,35.759615384615394,11.291209963945384
32,1,35.0,29.0,18.0,12.0,16.0,36.46153846153847,3.3091628411998952
49,1,32.0,35.0,29.0,18.0,12.0,37.269230769230774,3.5835259748646613
25,4,49.0,32.0,35.0,29.0,18.0,37.567307692307686,8.200837826478145
35,4,25.0,49.0,32.0,35.0,29.0,37.89423076923076,10.151483011424963
53,4,35.0,25.0,49.0,32.0,35.0,38.307692307692314,-0.21838462414104487
24,3,53.0,35.0,25.0,49.0,32.0,38.596153846153854,-3.171585593040384
40,3,24.0,53.0,35.0,25.0,49.0,38.625,-8.08953015168331
31,4,40.0,24.0,53.0,35.0,25.0,38.307692307692314,10.71047400762248
39,4,31.0,40.0,24.0,53.0,35.0,38.019230769230774,-4.470291063840962
41,4,39.0,31.0,40.0,24.0,53.0,38.125,2.566892582644316
21,4,41.0,39.0,31.0,40.0,24.0,38.153846153846146,0.8668967419501098
22,4,21.0,41.0,39.0,31.0,40.0,38.00961538461538,-11.121560637205642
35,4,22.0,21.0,41.0,39.0,31.0,37.88461538461538,-7.09719750354088
23,4,35.0,22.0,21.0,41.0,39.0,37.490384615384606,-6.069629241670986
14,4,23.0,35.0,22.0,21.0,41.0,38.214059082938775,-10.446747340780682
42,4,14.0,23.0,35.0,22.0,21.0,38.394072742974636,-15.594568247640689
52,4,42.0,14.0,23.0,35.0,22.0,38.574086403010476,-10.380209667321214
29,4,52.0,42.0,14.0,23.0,35.0,38.754100063046344,-2.7748254459760924
29,4,29.0,52.0,42.0,14.0,23.0,38.934113723082206,-13.725326286593685
55,4,29.0,29.0,52.0,42.0,14.0,39.11412738311806,3.5415922369841035
44,4,55.0,29.0,29.0,52.0,42.0,39.29414104315392,1.9815876836388204
33,4,44.0,55.0,29.0,29.0,52.0,39.474154703189775,1.7965831302935344
28,4,33.0,44.0,55.0,29.0,29.0,39.65416836322563,-5.452523987154316
33,4,28.0,33.0,44.0,55.0,29.0,39.83418202326149,-11.653554181525244
34,4,33.0,28.0,33.0,44.0,55.0,40.01419568329735,-9.816122837434634
66,4,34.0,33.0,28.0,33.0,44.0,40.1942093433332,-7.962665852318379
50,4,66.0,34.0,33.0,28.0,33.0,40.37422300336907,2.8266885686953094
60,4,50.0,66.0,34.0,33.0,28.0,40.55423666340492,-3.4480595743935667
52,4,60.0,50.0,66.0,34.0,33.0,40.73425032344077,15.568858949184225
50,3,52.0,60.0,50.0,66.0,34.0,40.91426398347664,-2.3693507323661898
33,3,50.0,52.0,60.0,50.0,66.0,41.09427764351249,4.067439586083396
35,4,33.0,50.0,52.0,60.0,50.0,41.27429130354835,-8.351539326236251
26,4,35.0,33.0,50.0,52.0,60.0,41.454304963584214,1.5884561204184657
40,4,26.0,35.0,33.0,50.0,52.0,41.63431862362006,1.9899900286116436
53,4,40.0,26.0,35.0,33.0,50.0,41.81433228365592,7.70242137270225
40,4,53.0,40.0,26.0,35.0,33.0,41.99434594369178,3.3763911783313225
36,4,40.0,53.0,40.0,26.0,35.0,42.17435960372764,3.01510457370399
44,1,36.0,40.0,53.0,40.0,26.0,42.35437326376349,-2.993617928359245
45,3,44.0,36.0,40.0,53.0,40.0,42.53438692379935,7.734839056757005
33,2,45.0,44.0,36.0,40.0,53.0,42.71440058383522,15.787013990591207
